City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,06-01-2015,191.5,560.1,176.3,4.5,115.4,49,8.89,23.2,35.5,10.66,17.71,6.07,15,Poor
Bangalore,06-01-2015,432.2,500.7,162,80.8,6.5,6.5,0.34,90.4,113.1,14.17,21.22,1.63,120.7,Poor
Delhi,07-01-2015,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,6.33,2.35,0.27,370.3,Moderate
Mumbai,07-01-2015,485.1,549.4,175.2,40.5,201.8,39.2,7.54,10.6,52.5,0.51,11.26,0.48,337.9,Good
Chennai,07-01-2015,325.4,129,184.1,57.5,111.3,32.9,3.27,44.9,173.7,11.78,29.07,8.14,0.7,Very Poor
Kolkata,07-01-2015,121.4,120.8,153.5,10.4,222.7,40.1,4.96,28.8,51.1,2.67,11.02,0.97,493.6,Very Poor
Bangalore,07-01-2015,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,10.85,19.27,8.07,421.8,Poor
Delhi,08-01-2015,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,17.48,20.33,4.75,230.7,Severe
Mumbai,08-01-2015,97,302.5,14.6,148.8,105.5,43.7,1.8,32.9,141.4,18.51,10.3,1.49,106.1,Severe
Chennai,08-01-2015,421,328.6,174.3,45.5,227.8,30.8,6.97,80.4,145.8,0.28,22.75,6.65,478.4,Poor
Kolkata,08-01-2015,308.5,199.9,45.4,144.2,156.1,49.7,0.34,40.8,197.1,3.72,12.86,4.43,82.2,Very Poor
Bangalore,08-01-2015,409.8,237.9,71.8,41.6,101,31.3,4.41,6.1,66.2,18.02,20.92,4.45,487.3,Poor
Delhi,09-01-2015,226.8,103,72.6,100.6,32.9,23.4,9.29,56.6,118.8,8.73,28.38,6.88,53.6,Very Poor
Mumbai,09-01-2015,232.9,102.6,44.8,113.4,233.2,7.9,9.66,8.7,82.5,7.89,16.24,8.12,278.9,Poor
Chennai,09-01-2015,74,295.4,98.2,105.5,165.2,48.7,2.18,95.6,51.9,9.27,6.45,5.49,91.2,Severe
Kolkata,09-01-2015,172.4,142.6,142.3,71.3,111.4,26.7,1.27,11.2,86.7,7.34,21.28,1.14,5.9,Satisfactory
Bangalore,09-01-2015,77.8,270.7,110,66.6,194.6,36.5,2.06,73.2,159.6,8.42,12,5.81,8,Good
Delhi,10-01-2015,316.8,209.1,68,100,30.2,36.8,3.37,11.2,4.4,16.25,13.2,8.95,29.9,Very Poor
Mumbai,10-01-2015,308.7,415.3,23.9,97.4,51.7,10.6,4.86,29.6,87.9,18.98,21.06,8.82,15.9,Poor
Chennai,10-01-2015,308.1,73,26.2,134.3,136.4,42.9,3.5,48.5,113,7.66,18.57,2.17,98.5,Satisfactory
Kolkata,10-01-2015,415.5,586.8,18.3,138.5,100,47.7,4.33,59.6,59.2,19.8,18.38,0.1,446.7,Poor
Bangalore,10-01-2015,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,12.05,26.19,9.05,275.2,Severe
Delhi,11-01-2015,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,0.76,1.67,7.5,450.2,Poor
Mumbai,11-01-2015,144.3,120.8,71.2,58.2,213,45.1,5.15,95.9,63.6,0,14.46,4.26,435.5,Poor
Chennai,11-01-2015,279.8,525.6,110.7,1.1,200.5,45.4,2.65,62.1,171,5.39,19.53,3.19,413.3,Satisfactory
Kolkata,11-01-2015,340.3,457.5,116,148.7,159.7,9.2,6.18,60.6,59.5,17.57,18.41,2.67,168.6,Very Poor
Bangalore,11-01-2015,470.4,237.2,9.3,49.5,137.8,43,8.68,92.9,158,7.26,23.36,7,418.5,Severe
Delhi,12-01-2015,59,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,9.01,16.71,0.62,467.8,Severe
Mumbai,12-01-2015,126.2,470,183.4,71.4,121.9,30.5,9.13,71.7,59.2,4.36,8.62,8.72,457.6,Satisfactory
Chennai,12-01-2015,391.2,24.4,3.1,133.3,222.1,21.2,9.57,6.3,176.9,17.04,17.46,4.42,212.3,Satisfactory
Kolkata,12-01-2015,44.1,533.8,170.5,34.1,75.2,27.7,7.51,50.7,19.7,18.91,27.86,0.42,475.9,Good
Bangalore,12-01-2015,138.2,431.8,119,46.9,180.4,22.2,6.57,70.2,128.9,2.81,12.72,4.43,69.7,Very Poor
Delhi,13-01-2015,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,3.1,18.05,9.06,265.3,Moderate
Mumbai,13-01-2015,11.4,261.5,120,70.2,2.9,23.6,7.79,21,104,9.63,16.11,4.24,387.8,Good
Chennai,13-01-2015,151.9,242.5,85.7,1.5,57.8,0.5,8.16,50.4,104.8,8.27,12.48,0.54,274.9,Good
Kolkata,13-01-2015,155,353.5,133.8,48.9,73.2,34.3,9.64,11.2,86.6,14.1,21.8,5.33,168.9,Good
Bangalore,13-01-2015,146.7,59.5,48.2,32.7,222.4,14.6,1,50.5,101.1,2.43,14.68,9.41,100.7,Satisfactory
Delhi,14-01-2015,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,1.33,27.5,8.33,361,Moderate
Mumbai,14-01-2015,260.6,450.2,8.1,1.6,136,45.3,6.09,14.5,46,8.02,29.53,8.61,72.4,Moderate
Chennai,14-01-2015,338.7,223.1,103.9,94.8,204.3,1.2,9.61,4.1,80.1,19.07,27.3,9.26,358,Satisfactory
Kolkata,14-01-2015,93.6,283.7,49.3,35.6,14.5,14.7,3.79,42.8,85.2,12.7,23.66,5.51,89.7,Severe
Bangalore,14-01-2015,487,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24,10.78,8.46,2.15,374,Good
Delhi,15-01-2015,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,16.55,7.68,5.84,481.7,Good
Mumbai,15-01-2015,429.8,345.4,13.4,50.2,120.3,33.9,4.27,35.3,127.1,1.46,21.01,8.67,229.4,Severe
Chennai,15-01-2015,172.5,481.8,67.9,2.1,132.4,11.6,8.75,49,39.6,12.54,21.12,0.2,265.3,Severe
Kolkata,15-01-2015,63.1,121.1,37.5,8.3,68.8,27.9,3.54,5.6,171.2,14.36,9.02,0.81,464.6,Satisfactory
Bangalore,15-01-2015,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,12.97,19.4,1.14,499.4,Satisfactory
Delhi,16-01-2015,283.3,260.2,137,12.5,158.5,1.9,1.88,91.3,167.1,14.94,7.51,0.64,240.1,Poor
Mumbai,16-01-2015,400.7,50.6,24.2,105.4,103.1,18.7,0.04,27,70.9,18.91,6.91,9.96,159.3,Satisfactory
Chennai,16-01-2015,259.6,202,58.3,0.9,132.1,42,0.94,19.9,194.9,7.94,12.93,7.53,351.5,Very Poor
Kolkata,16-01-2015,42.1,279.2,32.5,74.1,173.4,35,4.72,82.4,169,0.57,8.74,7.23,255,Poor
Bangalore,16-01-2015,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,16.69,24.27,3.22,261.6,Severe
Delhi,17-01-2015,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,12.36,6.02,8.84,257.4,Good
Mumbai,17-01-2015,310.7,276.4,172.9,41.5,173.6,26.4,6.74,44.2,175.1,19.71,27.98,8.25,113,Satisfactory
Chennai,17-01-2015,391.2,19.4,106.1,149,30.2,35.2,9.12,7.8,109.5,0.12,6.97,7.95,39.3,Satisfactory
Kolkata,17-01-2015,475.3,296.7,119.5,70.6,130,39.1,8.12,97.8,59.1,6.15,10.46,9.45,234.2,Moderate
Bangalore,17-01-2015,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,7.82,8.19,5.56,3.8,Moderate
Delhi,18-01-2015,486.5,401.3,97.5,1,67.5,21.3,2.88,63,171.9,19.79,26.21,3.38,439.8,Good
Mumbai,18-01-2015,408.4,375.4,35.3,72.6,175,4.8,2.2,23.2,67.5,0.42,23.68,8.15,423.4,Satisfactory
Chennai,18-01-2015,481.6,113.7,126.7,7.9,249.5,24.2,5.22,39.3,197.5,8.9,29,0.71,306.6,Moderate
Kolkata,18-01-2015,408.7,407.1,6.2,70.4,242.6,45.6,0.4,97,94,18.22,4.43,6.1,224.7,Severe
Bangalore,18-01-2015,14,456.9,88.4,112.2,166.8,16,8.68,11.9,27.3,1.01,9.64,6.48,104.3,Good
Delhi,19-01-2015,176.7,498,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102,Satisfactory
Mumbai,19-01-2015,358,290.4,84.5,102,122.5,19.6,5.01,62.5,104.3,4.26,26.84,8.01,290,Poor
Chennai,19-01-2015,340.4,538.3,54.7,65.9,94.5,8.4,8.4,58.5,20.9,7.26,14.59,2.74,437.1,Satisfactory
Kolkata,19-01-2015,58.6,534.5,91.6,6.5,42,47.9,1.92,64.1,171.6,8.65,14.47,8.78,467.9,Poor
Bangalore,19-01-2015,306.8,78,43.2,115.6,95.1,30.5,3.47,0.8,140.9,5.34,9.64,9.64,273.1,Poor
Delhi,20-01-2015,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor
Mumbai,20-01-2015,478.8,359.8,45.7,50.3,151.7,27.3,2.52,39.4,61.1,18.75,17.93,1.73,132,Poor
Chennai,20-01-2015,144.8,52.9,13.8,109.9,38.9,26.7,6.93,7.2,17.3,19.41,0.4,9.51,157.2,Moderate
Kolkata,20-01-2015,394.8,356.9,31.4,108.2,137.9,33,9.2,11.3,188,5.53,29.17,5.41,207,Good
Bangalore,20-01-2015,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,9.68,22.04,5.16,38.1,Poor
Delhi,21-01-2015,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good
Mumbai,21-01-2015,70.9,86.1,156.8,15.5,28.9,19.8,2.19,22.8,56.6,16.46,6.6,4.45,86.5,Severe
Chennai,21-01-2015,374,277.3,90.4,146.5,113.7,45.7,0.41,89.6,154.4,6.34,25.6,0.71,357.6,Good
Kolkata,21-01-2015,96.1,514.2,160,57.8,35.7,36.7,1.08,69.3,155.2,14.08,13.93,3.76,440.5,Good
Bangalore,21-01-2015,21.2,271.6,43,46.7,91.6,20.2,1.16,40.6,183.6,9.56,28.44,5.43,384.3,Poor
Delhi,22-01-2015,403.8,423.9,106.4,41.3,106.2,23,8.67,68.2,135,7.14,8.6,6.4,126.7,Severe
Mumbai,22-01-2015,131.2,368.1,24.2,80.9,9.5,28.5,6.61,37.5,40.1,19.77,20.6,0.3,10.8,Severe
Chennai,22-01-2015,90,428.5,123.1,48.7,16.2,36.1,0.5,49.2,52.7,9.99,17.07,9.93,270.2,Very Poor
Kolkata,22-01-2015,247.5,112.7,108,5.3,16.4,26.4,1.01,35.7,163.7,6.78,14.98,4.06,85,Good
Bangalore,22-01-2015,180.2,53,90.6,132.1,226.1,9.3,6.29,2.7,125.7,11.67,13.21,0.08,22.1,Satisfactory
Delhi,23-01-2015,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37,139.6,12.89,16.09,8.7,362.2,Good
Mumbai,23-01-2015,476.7,360.1,14.4,148.5,49.3,4.5,8.41,48.4,160.9,19.9,27.52,0.34,440.9,Poor
Chennai,23-01-2015,153.9,337.5,18.1,114.3,148.8,26,0.53,17.6,93.1,6.8,15.47,9.91,431.1,Moderate
Kolkata,23-01-2015,437.7,541.7,83.8,91.2,88,44.1,6.09,2.6,17.6,19,23.61,7.08,87.5,Moderate
Bangalore,23-01-2015,469,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,12.98,11.71,9.13,286.9,Good
Delhi,24-01-2015,188.3,442.6,191,82.8,181.5,13.7,0.53,3.6,37.1,1.62,24.86,7.97,288.8,Good
Mumbai,24-01-2015,420.7,186.9,32.9,45.8,234.1,31.1,4.81,12.5,185.8,15.5,9.03,5.69,86.1,Very Poor
Chennai,24-01-2015,232.1,581.7,104.6,50.3,226.3,47.5,5.06,38.1,17.9,14.73,12.31,9.89,251.4,Satisfactory
Kolkata,24-01-2015,141.5,208.7,172.3,79.3,191.1,8,5.06,27.3,20.2,2.57,20.44,5.16,130.4,Severe
Bangalore,24-01-2015,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,2.45,19.54,0.63,105.6,Moderate
Delhi,25-01-2015,397.3,457,112.9,100.4,87.4,21.1,7.67,76,2.7,14.55,25.88,5.98,148.4,Severe
Mumbai,25-01-2015,353.4,178.3,105.4,79.3,104.7,48.1,4.61,23.1,181.1,16,7.23,4.88,130.4,Severe
Chennai,25-01-2015,122.2,97.8,140.8,106,234.2,6.6,2.59,73.6,109.3,11.03,20.82,8.33,45.3,Poor
Kolkata,25-01-2015,113.3,432.1,67.7,3.6,95.5,27.4,7.8,91.8,48.3,11.02,3.24,5.89,119.2,Satisfactory
Bangalore,25-01-2015,219.2,22.7,7.2,121.4,75,31.6,6.53,95.3,58.6,5.56,28.63,6.24,390.6,Severe
Delhi,26-01-2015,336.2,576,52.7,6.6,157.1,0.4,4.15,96.1,165.4,5,12.88,4.31,260,Satisfactory
Mumbai,26-01-2015,52.5,410.4,132.1,61.3,162.1,18.6,3.19,18,198.3,18.34,9.1,8.14,147.6,Very Poor
Chennai,26-01-2015,487.7,332.9,140.6,94.1,107.2,12.2,5.26,66.6,14.5,6.96,27.79,7.48,415.6,Moderate
Kolkata,26-01-2015,13.2,474.7,103.8,82.2,237,20.6,7.59,35.6,29.9,2.48,17.06,4.25,264.2,Moderate
Bangalore,26-01-2015,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,8.92,0.34,5.25,319.9,Good
Delhi,27-01-2015,125.9,443,35,120.4,103.5,41.6,4.44,30.5,91.4,10.42,5.67,8.6,225.8,Moderate
Mumbai,27-01-2015,50.4,334.5,116.3,94.8,199.5,34.7,0.89,93.6,59.9,7.24,13.2,9.51,312.3,Satisfactory
Chennai,27-01-2015,258.8,116.4,139.9,139.7,153,4.8,2.74,51.1,181.9,1.56,3.67,8.26,22,Moderate
Kolkata,27-01-2015,316.8,527,168,28.6,113.8,14.1,2.1,95.6,91.4,0.64,1.91,1.33,213.1,Poor
Bangalore,27-01-2015,469,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,12.07,24.7,8.48,78.7,Satisfactory
Delhi,28-01-2015,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58,4.3,2.02,19.5,5.32,260.7,Very Poor
Mumbai,28-01-2015,373.7,173.1,160.7,78.5,75.1,43.2,2.88,93.8,64.8,17.13,28.53,9.9,95.2,Poor
Chennai,28-01-2015,356.2,11.9,182.8,95.5,173.4,14.4,7.42,99.6,143.2,17.93,15.95,3.43,211.9,Moderate
Kolkata,28-01-2015,4.5,41.8,77.2,123.5,201.1,44.8,7.97,36,109.7,10.11,1.17,5.61,128,Poor
Bangalore,28-01-2015,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,13.23,21.91,1.82,92.9,Severe
Delhi,29-01-2015,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95,127.3,12.55,28.07,3.73,44.1,Severe
Mumbai,29-01-2015,174.8,500.3,52,116.3,37,35.9,1.61,83.5,103.3,4.03,23.5,9.38,130.6,Moderate
Chennai,29-01-2015,485.9,513.1,163.1,135,140.5,37.7,3.37,9.8,18.7,13.5,28.88,5.6,441.9,Moderate
Kolkata,29-01-2015,436,595.6,160.1,86,27.5,2.9,5.1,9.6,77.4,18.15,10.3,6.63,218,Very Poor
Bangalore,29-01-2015,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,8.11,12.56,2.22,232,Good
Delhi,30-01-2015,485.5,128,37.5,103.7,79.1,10.8,1.14,6.5,133.6,10.55,27.99,7.05,337.9,Moderate
Mumbai,30-01-2015,481.7,472.6,30.1,92.2,166.7,37.6,5.35,39.2,133.2,2.95,6.27,3.65,248.6,Moderate
Chennai,30-01-2015,53.6,580.2,75.4,127.8,135.8,47.7,2.2,58,16.6,17.73,26.06,5.75,150.2,Satisfactory
Kolkata,30-01-2015,140.8,249.9,130.4,95.8,244.7,12.8,1,79.8,8.9,18.02,18.91,4.57,133.6,Poor
Bangalore,30-01-2015,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,6.85,24.57,6.15,493.9,Very Poor
Delhi,31-01-2015,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,3.89,18.54,9.64,489.9,Good
Mumbai,31-01-2015,466.3,497,125.7,12.5,188.5,4.4,9.37,41.2,83.4,6.05,18.1,3.41,470.9,Moderate
Chennai,31-01-2015,18.5,301.8,131.1,135.2,90.1,49.8,0.11,97.6,168.6,8.66,11.99,9.14,40.6,Satisfactory
Kolkata,31-01-2015,345.1,486.9,167.1,34.3,31.2,1.3,3.72,87.9,124.3,2.12,2.09,9.47,81.5,Satisfactory
Bangalore,31-01-2015,327.5,71.1,73.7,105.1,203.7,3,6.85,4.4,28.9,2.39,23.86,6.05,432.3,Satisfactory
Delhi,01-02-2015,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91,36.4,5.4,21.36,2.36,447.5,Moderate
Mumbai,01-02-2015,310.5,197.1,140.2,126.3,167,8,6.77,76.9,156.1,13.61,15.6,3.86,87.4,Very Poor
Chennai,01-02-2015,280.3,116.3,183.7,7.2,209.2,37.6,3.96,47.2,111.6,16.23,27.79,9.36,102.3,Severe
Kolkata,01-02-2015,73.6,568.9,175.9,138.6,231.9,5.6,9.39,51.7,133,13.03,3.78,9.38,266.8,Very Poor
Bangalore,01-02-2015,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59,6.3,16.79,20.7,3.27,211.4,Very Poor
Delhi,02-02-2015,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,10.1,7.9,5.83,266.8,Poor
Mumbai,02-02-2015,44.3,385.8,51,1.3,237.1,18.4,1.2,35.8,71.8,7.14,19.32,2.8,108.9,Good
Chennai,02-02-2015,415.4,322.5,7.9,122.1,242.8,23.3,8.88,17.4,198.4,13.06,11.24,7.86,215.4,Very Poor
Kolkata,02-02-2015,469.7,124.6,7.7,63.3,69.1,20.3,3.5,16.3,83.5,11.38,19.3,9.08,274.5,Very Poor
Bangalore,02-02-2015,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,3.61,12.65,7.08,480.9,Moderate
Delhi,03-02-2015,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,18.51,2.22,2.72,40.7,Good
Mumbai,03-02-2015,229.6,71.9,145.4,116.6,194.1,5.3,0.43,87.5,38.9,12.19,23.25,2.14,469,Satisfactory
Chennai,03-02-2015,391,113.5,71.8,54.5,203.3,7.7,5.41,32.7,43,15.95,9.15,4.36,373.9,Severe
Kolkata,03-02-2015,304.6,10,195.8,15.7,63.8,32.3,9.1,18.4,123.3,5.97,16.64,0.25,472.3,Good
Bangalore,03-02-2015,413.9,371,153.5,37.8,117.5,6.5,8.55,56.1,132,7.34,26.49,5.17,235.7,Very Poor
Delhi,04-02-2015,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,9.07,26.36,0.11,365.4,Severe
Mumbai,04-02-2015,415.4,72.9,175.3,19.3,184.6,6.8,8.19,88.4,194,2.74,20.23,6.22,95.5,Very Poor
Chennai,04-02-2015,212.3,11.5,189.4,1.7,208.4,8.1,6.44,12.1,64.9,9.02,3.59,2.9,118.3,Severe
Kolkata,04-02-2015,439.2,345.4,147.4,5.5,175.3,41.5,3.03,84.5,177.7,7.81,5.47,1.31,409.8,Moderate
Bangalore,04-02-2015,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,16.35,2.37,5.09,377.2,Good
Delhi,05-02-2015,172.9,328.3,79.4,28.6,207,13.3,8.51,85.2,189.5,14.27,1.24,2.89,37.6,Satisfactory
Mumbai,05-02-2015,477.3,171.5,76.4,121.4,192.5,3.2,5.81,45.2,50.7,8.54,28.55,3.61,139.7,Moderate
Chennai,05-02-2015,301.3,302.1,100.1,81.7,220.6,11.1,4.91,14.1,136.9,5.78,15.94,5.46,97.2,Severe
Kolkata,05-02-2015,218.2,15.7,67.1,92.3,184.2,44.2,9.91,43.6,118.7,3.73,7.34,8.15,62.8,Very Poor
Bangalore,05-02-2015,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,18.18,19.78,2.09,6,Moderate
Delhi,06-02-2015,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,0.55,18.71,0.03,52.3,Moderate
Mumbai,06-02-2015,352,426.6,106.5,20.6,117.8,10.4,6.37,47.3,135.9,5.23,25.75,1.46,435.7,Very Poor
Chennai,06-02-2015,452.7,182.3,3.6,65.3,130.9,15.3,2.14,81.4,192,2.98,19.18,5.81,62.2,Poor
Kolkata,06-02-2015,417.5,404.5,179.3,67.2,182,30.9,0.15,89.3,104.3,17.88,4.01,1.16,235,Very Poor
Bangalore,06-02-2015,56.8,201.4,48.7,121,97,26.2,9.2,20.6,48.5,14.26,2.17,4.44,93.3,Good
Delhi,07-02-2015,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51,18.91,5.7,0.75,261.6,Satisfactory
Mumbai,07-02-2015,104.9,592,75.4,43,128.7,45,1.28,49.4,9.3,1.5,19.15,2.52,236.4,Satisfactory
Chennai,07-02-2015,170.4,223.5,38,72.9,120.2,39.1,2.97,32.6,24,19.72,28.94,6.13,343.3,Good
Kolkata,07-02-2015,332.8,347.2,142.9,117.4,210.8,49,3.04,43.8,147,1.53,19.58,3.43,456.4,Poor
Bangalore,07-02-2015,375.1,280.7,6.4,115.6,116,37.8,2.47,4,71.1,15.79,5.76,4.28,173.3,Satisfactory
Delhi,08-02-2015,21,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,19.33,15.96,1.9,311,Moderate
Mumbai,08-02-2015,457.6,131.8,95,84.8,125.8,8.4,7.64,28.6,119,17.98,29.32,9.6,399.2,Good
Chennai,08-02-2015,280.6,536.1,181.9,12.9,69.1,8,6.04,72.1,172.8,12.34,15.41,4.3,312.7,Very Poor
Kolkata,08-02-2015,138.5,201.9,9.5,103.3,54.5,2.5,0.15,45,166.9,18.42,19.66,7.2,358.7,Good
Bangalore,08-02-2015,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,4.6,13.99,2.34,205,Severe
Delhi,09-02-2015,476.6,581.6,20.3,73,193.8,12.6,6.1,29.9,106.4,0.85,22.7,6.18,326.7,Moderate
Mumbai,09-02-2015,263,44,29.4,4.4,87.8,19.5,4.9,35.1,129.1,12.25,9.28,0.52,489.2,Very Poor
Chennai,09-02-2015,7.6,584.2,154.9,71.9,223.2,39.2,0.85,69.7,29,2.91,11.95,1.19,164.2,Satisfactory
Kolkata,09-02-2015,161,105.8,13.6,67.7,80.8,26,7.06,0.8,17.3,3.02,21.89,9.25,38.1,Poor
Bangalore,09-02-2015,270,331.6,6.9,4.6,157,22.1,9.34,63.3,174.6,18.11,19.2,4.93,64.4,Severe
Delhi,10-02-2015,262.9,178.7,75.4,34.7,188,39.8,1.08,2.5,142.6,5.22,27.63,0.9,437.3,Very Poor
Mumbai,10-02-2015,183.3,50.4,62.9,56.6,164,25.8,9.44,69.3,192.2,8.23,29.32,9.21,352.7,Poor
Chennai,10-02-2015,99.7,576.2,132.7,46.4,73.5,47.3,5.14,61.3,46.8,7.51,7.72,6.41,474.7,Poor
Kolkata,10-02-2015,162.9,266,53.3,2.2,194,1.6,5.95,47.6,17.5,0.88,10.38,5.5,295.8,Very Poor
Bangalore,10-02-2015,419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,2.1,18.98,3.48,440.1,Poor
